season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active
9,5,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,24.0,8.0,4.0,10
9,5,Joanna Krupa,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,24.0,8.0,4.0,10
9,5,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,3rd Place,3,24.0,8.0,4.0,10
9,5,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,23.0,7.666666666666667,7.0,10
9,5,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,22.0,7.333333333333333,8.0,10
9,5,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,22.0,7.333333333333333,8.0,10
9,5,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,21.0,7.0,10.0,10
9,6,Joanna Krupa,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,35.9999,11.999966666666666,1.0,9
9,6,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,33.0,11.0,2.0,9
9,6,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,32.9998,10.999933333333333,3.0,9
9,6,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,32.0,10.666666666666666,4.0,9
9,6,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,30.999899999999997,10.3333,5.0,9
9,6,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,3rd Place,3,24.9998,8.333266666666667,6.0,9
9,6,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,24.0,8.0,7.0,9
9,6,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,23.9999,7.9999666666666664,8.0,9
9,6,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,21.9998,7.333266666666667,9.0,9
9,7,Joanna Krupa,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,27.5,9.166666666666666,1.0,7
9,7,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,26.5,8.833333333333334,2.0,7
9,7,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,26.0,8.666666666666666,3.0,7
9,7,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,3rd Place,3,26.0,8.666666666666666,3.0,7
9,7,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,24.5,8.166666666666666,5.0,7
9,7,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,23.5,7.833333333333333,6.0,7
9,7,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,21.5,7.166666666666667,7.0,7
9,8,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,29.5,9.833333333333334,1.0,5
9,8,Joanna Krupa,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,26.0,8.666666666666666,2.0,5
9,8,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,3rd Place,3,25.5,8.5,3.0,5
9,8,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,25.0,8.333333333333334,4.0,5
9,8,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,25.0,8.333333333333334,4.0,5
9,9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,28.9999,9.666633333333333,1.0,4
9,9,Joanna Krupa,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,27.0,9.0,2.0,4
9,9,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,3rd Place,3,25.9998,8.6666,3.0,4
9,9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,24.666600000000003,8.2222,4.0,4
9,10,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,28.9998,9.6666,1.0,3
9,10,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,28.333199999999998,9.4444,2.0,3
9,10,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,3rd Place,3,25.2222,8.4074,3.0,3
10,1,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,25.0,8.333333333333334,1.0,11
10,1,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,23.0,7.666666666666667,2.0,11
10,1,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,21.0,7.0,3.0,11
10,1,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,21.0,7.0,3.0,11
10,1,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,20.0,6.666666666666667,5.0,11
10,1,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,18.0,6.0,6.0,11
10,1,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,18.0,6.0,6.0,11
10,1,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,18.0,6.0,6.0,11
10,1,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,16.0,5.333333333333333,9.0,11
10,1,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,15.0,5.0,10.0,11
10,1,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,14.0,4.666666666666667,11.0,11
10,2,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,28.0,9.333333333333334,1.0,11
10,2,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,24.0,8.0,2.0,11
10,2,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,23.0,7.666666666666667,3.0,11
10,2,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,22.0,7.333333333333333,4.0,11
10,2,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,21.0,7.0,5.0,11
10,2,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,20.0,6.666666666666667,6.0,11
10,2,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,20.0,6.666666666666667,6.0,11
10,2,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,19.0,6.333333333333333,8.0,11
10,2,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,16.0,5.333333333333333,9.0,11
10,2,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,15.0,5.0,10.0,11
10,2,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,12.0,4.0,11.0,11
10,3,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,26.0,8.666666666666666,1.0,10
10,3,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,23.0,7.666666666666667,2.0,10
10,3,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,23.0,7.666666666666667,2.0,10
10,3,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,21.0,7.0,4.0,10
10,3,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,21.0,7.0,4.0,10
10,3,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,21.0,7.0,4.0,10
10,3,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,20.0,6.666666666666667,7.0,10
10,3,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,20.0,6.666666666666667,7.0,10
10,3,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,15.0,5.0,9.0,10
10,3,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,13.0,4.333333333333333,10.0,10
10,4,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,26.0,8.666666666666666,1.0,9
10,4,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,25.0,8.333333333333334,2.0,9
10,4,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,23.5,7.833333333333333,3.0,9
10,4,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,22.0,7.333333333333333,4.0,9
10,4,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,19.5,6.5,5.0,9
10,4,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,19.0,6.333333333333333,6.0,9
10,4,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,18.0,6.0,7.0,9
10,4,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,16.5,5.5,8.0,9
10,4,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,16.0,5.333333333333333,9.0,9
10,5,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,29.0,9.666666666666666,1.0,8
10,5,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,27.0,9.0,2.0,8
10,5,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,23.0,7.666666666666667,3.0,8
10,5,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,22.0,7.333333333333333,4.0,8
10,5,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,21.0,7.0,5.0,8
10,5,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,18.0,6.0,6.0,8
10,5,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,18.0,6.0,6.0,8
10,5,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,15.0,5.0,8.0,8
10,6,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,35.9999,11.999966666666666,1.0,7
10,6,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,34.0,11.333333333333334,2.0,7
10,6,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,30.999899999999997,10.3333,3.0,7
10,6,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,29.9998,9.999933333333333,4.0,7
10,6,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,27.0,9.0,5.0,7
10,6,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,25.9998,8.6666,6.0,7
10,6,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,24.999899999999997,8.3333,7.0,7
10,7,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,27.0,9.0,1.0,6
10,7,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,27.0,9.0,1.0,6
10,7,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,26.0,8.666666666666666,3.0,6
10,7,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,25.5,8.5,4.0,6
10,7,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,25.5,8.5,4.0,6
10,7,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,24.5,8.166666666666666,6.0,6
10,8,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,29.5,9.833333333333334,1.0,5
10,8,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,26.5,8.833333333333334,2.0,5
10,8,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,26.5,8.833333333333334,2.0,5
10,8,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,22.5,7.5,4.0,5
10,8,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,21.5,7.166666666666667,5.0,5
10,9,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,29.5,9.833333333333334,1.0,4
10,9,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,29.5,9.833333333333334,1.0,4
10,9,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,28.0,9.333333333333334,3.0,4
10,9,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,26.0,8.666666666666666,4.0,4
10,10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,28.7777,9.592566666666666,1.0,3
10,10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,26.9998,8.999933333333333,2.0,3
10,10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,26.888699999999996,8.9629,3.0,3
11,1,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,24.0,8.0,1.0,12
11,1,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,23.0,7.666666666666667,2.0,12
11,1,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,23.0,7.666666666666667,2.0,12
11,1,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,22.0,7.333333333333333,4.0,12
11,1,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,19.0,6.333333333333333,5.0,12
11,1,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,19.0,6.333333333333333,5.0,12
11,1,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,18.0,6.0,7.0,12
11,1,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,18.0,6.0,7.0,12
11,1,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,16.0,5.333333333333333,9.0,12
11,1,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,Eliminated Week 1,12,15.0,5.0,10.0,12
11,1,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,15.0,5.0,10.0,12
11,1,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,15.0,5.0,10.0,12
11,2,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,24.0,8.0,1.0,11
11,2,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,23.0,7.666666666666667,2.0,11
11,2,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,22.0,7.333333333333333,3.0,11
11,2,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,22.0,7.333333333333333,3.0,11
11,2,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,21.0,7.0,5.0,11
11,2,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,21.0,7.0,5.0,11
11,2,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,21.0,7.0,5.0,11
11,2,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,19.0,6.333333333333333,8.0,11
11,2,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,18.0,6.0,9.0,11
11,2,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,18.0,6.0,9.0,11
11,2,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,12.0,4.0,11.0,11
11,3,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,26.0,8.666666666666666,1.0,10
11,3,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,24.0,8.0,2.0,10
11,3,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,24.0,8.0,2.0,10
11,3,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,24.0,8.0,2.0,10
11,3,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,23.0,7.666666666666667,5.0,10
11,3,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,23.0,7.666666666666667,5.0,10
11,3,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,20.0,6.666666666666667,7.0,10
11,3,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,20.0,6.666666666666667,7.0,10
11,3,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,19.0,6.333333333333333,9.0,10
11,3,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,18.0,6.0,10.0,10
11,4,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,28.0,9.333333333333334,1.0,9
11,4,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,24.0,8.0,2.0,9
11,4,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,23.0,7.666666666666667,3.0,9
11,4,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,20.0,6.666666666666667,4.0,9
11,4,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,19.5,6.5,5.0,9
11,4,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,17.5,5.833333333333333,6.0,9
11,4,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,17.0,5.666666666666667,7.0,9
11,4,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,16.0,5.333333333333333,8.0,9
11,4,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,14.0,4.666666666666667,9.0,9
11,5,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,27.0,9.0,1.0,8
11,5,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,25.0,8.333333333333334,2.0,8
11,5,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,24.0,8.0,3.0,8
11,5,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,24.0,8.0,3.0,8
11,5,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,23.0,7.666666666666667,5.0,8
11,5,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,21.0,7.0,6.0,8
11,5,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,20.0,6.666666666666667,7.0,8
11,5,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,18.0,6.0,8.0,8
11,6,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,35.9999,11.999966666666666,1.0,7
11,6,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,31.9998,10.6666,2.0,7
11,6,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,30.0,10.0,3.0,7
11,6,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,29.999899999999997,9.999966666666666,4.0,7
11,6,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,29.0,9.666666666666666,5.0,7
11,6,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,27.9998,9.333266666666667,6.0,7
11,6,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,21.9999,7.3333,7.0,7
11,7,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,36.5,9.125,1.0,6
11,7,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,36.5,9.125,1.0,6
11,7,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,35.0,8.75,3.0,6
11,7,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,34.5,8.625,4.0,6
11,7,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,33.5,8.375,5.0,6
11,7,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,32.5,8.125,6.0,6
11,8,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,28.5,9.5,1.0,5
11,8,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,28.5,9.5,1.0,5
11,8,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,28.0,9.333333333333334,3.0,5
11,8,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,24.0,8.0,4.0,5
11,8,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,23.5,7.833333333333333,5.0,5
11,9,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,30.0,10.0,1.0,4
11,9,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,29.0,9.666666666666666,2.0,4
11,9,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,28.5,9.5,3.0,4
11,9,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,26.5,8.833333333333334,4.0,4
11,10,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,30.0,10.0,1.0,3
11,10,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,27.333199999999998,9.111066666666666,2.0,3
11,10,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,25.666600000000003,8.555533333333335,3.0,3
12,1,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,24.0,8.0,1.0,11
12,1,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,23.0,7.666666666666667,2.0,11
12,1,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,21.0,7.0,3.0,11
12,1,Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,21.0,7.0,3.0,11
12,1,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,19.0,6.333333333333333,5.0,11
12,1,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,19.0,6.333333333333333,5.0,11
12,1,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,18.0,6.0,7.0,11
12,1,Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,18.0,6.0,7.0,11
12,1,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,Eliminated Week 4,9,17.0,5.666666666666667,9.0,11
12,1,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,Eliminated Week 3,10,14.0,4.666666666666667,10.0,11
12,1,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,Eliminated Week 2,11,13.0,4.333333333333333,11.0,11
12,2,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,23.0,7.666666666666667,1.0,11
12,2,Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,23.0,7.666666666666667,1.0,11
12,2,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,23.0,7.666666666666667,1.0,11
12,2,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,21.0,7.0,4.0,11
12,2,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,20.0,6.666666666666667,5.0,11
12,2,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,19.0,6.333333333333333,6.0,11
12,2,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,18.0,6.0,7.0,11
12,2,Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,18.0,6.0,7.0,11
12,2,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,Eliminated Week 2,11,17.0,5.666666666666667,9.0,11
12,2,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,Eliminated Week 4,9,17.0,5.666666666666667,9.0,11
12,2,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,Eliminated Week 3,10,17.0,5.666666666666667,9.0,11
12,3,Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,25.0,8.333333333333334,1.0,10
12,3,Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,25.0,8.333333333333334,1.0,10
12,3,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,23.0,7.666666666666667,3.0,10
12,3,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,23.0,7.666666666666667,3.0,10
12,3,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,21.0,7.0,5.0,10
12,3,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,21.0,7.0,5.0,10
12,3,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,21.0,7.0,5.0,10
12,3,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,20.0,6.666666666666667,8.0,10
