celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,judge1_score,judge2_score,judge3_score,judge4_score,judge_count,judge_total,judge_mean,has_score_record,active
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,9,10.0,9.5,10.0,,3,29.5,9.833333333333334,True,True
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,9,10.0,10.0,10.0,,3,30.0,10.0,True,True
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,9,10.0,10.0,10.0,,3,30.0,10.0,True,True
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,9,9.5,10.0,9.5,,3,29.0,9.666666666666666,True,True
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,10,9.6666,9.6666,10.0,,3,29.3332,9.777733333333334,True,True
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,10,9.6666,9.3333,9.6666,,3,28.6665,9.5555,True,True
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,10,9.6666,9.0,9.6666,,3,28.333200000000005,9.444400000000002,True,True
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,11,,,,,0,,,False,False
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,11,,,,,0,,,False,False
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,11,,,,,0,,,False,False
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,11,,,,,0,,,False,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,11,,,,,0,,,False,False
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,11,,,,,0,,,False,False
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,11,,,,,0,,,False,False
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,11,,,,,0,,,False,False
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,11,,,,,0,,,False,False
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,11,,,,,0,,,False,False
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,11,,,,,0,,,False,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,1,8.0,9.0,8.0,,3,25.0,8.333333333333334,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,1,8.0,8.0,8.0,,3,24.0,8.0,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,1,8.0,8.0,8.0,,3,24.0,8.0,True,True
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,1,9.0,8.0,9.0,,3,26.0,8.666666666666666,True,True
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,1,6.0,6.0,6.0,,3,18.0,6.0,True,True
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,1,6.0,7.0,6.0,,3,19.0,6.333333333333333,True,True
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,1,6.0,5.0,5.0,,3,16.0,5.333333333333333,True,True
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,2,9.0,9.0,9.0,,3,27.0,9.0,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,2,7.0,8.0,8.0,,3,23.0,7.666666666666667,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,2,8.0,8.0,8.0,,3,24.0,8.0,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,2,7.0,7.0,7.0,,3,21.0,7.0,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,2,7.0,7.0,7.0,,3,21.0,7.0,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,2,7.0,7.0,7.0,,3,21.0,7.0,True,True
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,2,9.0,8.0,9.0,,3,26.0,8.666666666666666,True,True
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,2,6.0,6.0,6.0,,3,18.0,6.0,True,True
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,2,7.0,7.0,7.0,,3,21.0,7.0,True,True
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,2,5.0,5.0,5.0,,3,15.0,5.0,True,True
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,2,7.0,7.0,7.0,,3,21.0,7.0,True,True
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,2,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,3,8.0,8.0,8.0,,3,24.0,8.0,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,3,9.0,9.0,9.0,,3,27.0,9.0,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,3,9.0,8.0,9.0,,3,26.0,8.666666666666666,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,3,9.0,8.0,9.0,,3,26.0,8.666666666666666,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,3,8.0,7.0,8.0,,3,23.0,7.666666666666667,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,3,9.0,9.0,9.0,,3,27.0,9.0,True,True
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,3,9.0,9.0,9.0,,3,27.0,9.0,True,True
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,3,6.0,7.0,7.0,,3,20.0,6.666666666666667,True,True
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,3,7.0,7.0,7.0,,3,21.0,7.0,True,True
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,3,6.0,6.0,6.0,,3,18.0,6.0,True,True
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,3,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,3,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,4,9.0,9.0,9.0,,3,27.0,9.0,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,4,8.0,9.0,9.0,,3,26.0,8.666666666666666,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,4,9.0,9.0,8.0,,3,26.0,8.666666666666666,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,4,8.0,10.0,9.0,,3,27.0,9.0,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,4,9.0,9.0,9.0,,3,27.0,9.0,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,4,8.0,9.0,9.0,,3,26.0,8.666666666666666,True,True
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,4,10.0,10.0,10.0,,3,30.0,10.0,True,True
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,4,7.0,8.0,7.0,,3,22.0,7.333333333333333,True,True
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,4,7.0,8.0,8.0,,3,23.0,7.666666666666667,True,True
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,5,8.0,7.0,8.0,,3,23.0,7.666666666666667,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,5,10.0,9.0,10.0,,3,29.0,9.666666666666666,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,5,7.0,7.0,7.0,,3,21.0,7.0,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,5,8.0,9.0,8.0,,3,25.0,8.333333333333334,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,5,8.0,9.0,9.0,,3,26.0,8.666666666666666,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,5,8.0,9.0,9.0,,3,26.0,8.666666666666666,True,True
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,5,9.0,9.0,10.0,,3,28.0,9.333333333333334,True,True
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,5,7.0,7.0,7.0,,3,21.0,7.0,True,True
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,6,9.0,10.0,9.0,,3,28.0,9.333333333333334,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,6,10.0,10.0,10.0,,3,30.0,10.0,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,6,8.0,8.0,7.0,,3,23.0,7.666666666666667,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,6,9.0,9.0,9.0,,3,27.0,9.0,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,6,9.0,8.0,8.0,,3,25.0,8.333333333333334,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,6,8.0,7.0,7.0,,3,22.0,7.333333333333333,True,True
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,6,9.0,8.0,8.0,,3,25.0,8.333333333333334,True,True
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,7,9.0,8.5,8.5,,3,26.0,8.666666666666666,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,7,9.0,9.0,9.0,,3,27.0,9.0,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7,9.0,8.5,8.5,,3,26.0,8.666666666666666,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7,8.5,8.5,9.5,,3,26.5,8.833333333333334,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7,8.5,8.5,8.5,,3,25.5,8.5,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,7,8.0,8.5,8.5,,3,25.0,8.333333333333334,True,True
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8,9.5,9.5,9.5,,3,28.5,9.5,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,8,9.0,9.5,9.5,,3,28.0,9.333333333333334,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,8,8.0,8.5,8.0,,3,24.5,8.166666666666666,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,8,8.5,8.5,8.0,,3,25.0,8.333333333333334,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,8,8.5,8.5,8.5,,3,25.5,8.5,True,True
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,9,10.0,10.0,10.0,,3,30.0,10.0,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,9,10.0,10.0,10.0,,3,30.0,10.0,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,9,9.5,9.5,9.0,,3,28.0,9.333333333333334,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,9,9.5,10.0,9.5,,3,29.0,9.666666666666666,True,True
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,9,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,10,9.0,9.3333,9.6666,,3,27.999900000000004,9.333300000000001,True,True
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,10,9.3333,9.3333,9.6666,,3,28.333199999999998,9.4444,True,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,10,8.0,7.5,7.5,,3,23.0,7.666666666666667,True,True
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,10,0.0,0.0,0.0,,3,0.0,0.0,True,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,11,,,,,0,,,False,False
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,11,,,,,0,,,False,False
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,11,,,,,0,,,False,False
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,11,,,,,0,,,False,False
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,11,,,,,0,,,False,False
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,11,,,,,0,,,False,False
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,11,,,,,0,,,False,False
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,11,,,,,0,,,False,False
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,11,,,,,0,,,False,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,11,,,,,0,,,False,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,11,,,,,0,,,False,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,11,,,,,0,,,False,False
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,1,9.0,9.0,9.0,,3,27.0,9.0,True,True
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,1,7.0,8.0,7.0,,3,22.0,7.333333333333333,True,True
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,1,6.0,6.0,6.0,,3,18.0,6.0,True,True
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,1,8.0,8.0,8.0,,3,24.0,8.0,True,True
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,1,7.0,7.0,8.0,,3,22.0,7.333333333333333,True,True
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,1,8.0,8.0,8.0,,3,24.0,8.0,True,True
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,1,5.0,5.0,5.0,,3,15.0,5.0,True,True
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,1,6.0,6.0,6.0,,3,18.0,6.0,True,True
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,1,5.0,5.0,5.0,,3,15.0,5.0,True,True
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,1,5.0,6.0,5.0,,3,16.0,5.333333333333333,True,True
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,2,9.0,9.0,9.0,,3,27.0,9.0,True,True
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,2,9.0,9.0,9.0,,3,27.0,9.0,True,True
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,2,7.0,6.0,7.0,,3,20.0,6.666666666666667,True,True
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,2,7.0,7.0,7.0,,3,21.0,7.0,True,True
