season,week,next_week,event_type,active_count,eliminated_count,observed_eliminated,percent_eliminated,rank_eliminated,judge_only_bottom,fan_only_bottom,rank_percent_different,fan_override_judges,rank_overlap_with_percent
26,1,2,multi_elimination,10,2,Jamie Anderson;Johnny Damon,Johnny Damon;Jamie Anderson,Jamie Anderson;Arike Ogunbowale,Kareem Abdul-Jabbar;Johnny Damon,Jamie Anderson;Mirai Nagasu,True,True,1
26,2,3,multi_elimination,8,2,Arike Ogunbowale;Kareem Abdul-Jabbar,Kareem Abdul-Jabbar;Arike Ogunbowale,Arike Ogunbowale;Kareem Abdul-Jabbar,Kareem Abdul-Jabbar;Jennie Finch Daigle,Arike Ogunbowale;Chris Mazdzer,False,True,2
26,3,4,multi_elimination,6,3,Chris Mazdzer;Jennie Finch Daigle;Mirai Nagasu,Jennie Finch Daigle;Chris Mazdzer;Mirai Nagasu,Chris Mazdzer;Josh Norman;Mirai Nagasu,Jennie Finch Daigle;Chris Mazdzer;Mirai Nagasu,Josh Norman;Mirai Nagasu;Chris Mazdzer,True,False,2
27,1,2,single_elimination,13,1,Nikki Glaser,Nikki Glaser,Nikki Glaser,Joe Amabile,Nikki Glaser,False,True,1
27,2,3,single_elimination,12,1,Danelle Umstead,Danelle Umstead,Danelle Umstead,Joe Amabile,Danelle Umstead,False,True,1
27,3,4,single_elimination,11,1,Nancy McKeon,Nancy McKeon,Nancy McKeon,Joe Amabile,Nancy McKeon,False,True,1
27,4,5,single_elimination,10,1,Tinashe,Tinashe,DeMarcus Ware,Joe Amabile,Tinashe,True,True,0
27,6,7,single_elimination,9,1,Mary Lou Retton,Mary Lou Retton,Mary Lou Retton,John Schneider,Mary Lou Retton,False,True,1
27,7,8,multi_elimination,8,2,DeMarcus Ware;John Schneider,DeMarcus Ware;John Schneider,John Schneider;DeMarcus Ware,Joe Amabile;Bobby Bones,John Schneider;DeMarcus Ware,False,True,2
27,8,9,multi_elimination,6,2,Joe Amabile;Juan Pablo Di Pace,Joe Amabile;Juan Pablo Di Pace,Juan Pablo Di Pace;Milo Manheim,Bobby Bones;Joe Amabile,Juan Pablo Di Pace;Alexis Ren,True,True,1
28,2,3,multi_elimination,12,2,Mary Wilson;Ray Lewis,Mary Wilson;Ray Lewis,Mary Wilson;Ray Lewis,Lamar Odom;Mary Wilson,Mary Wilson;Ray Lewis,False,True,2
28,4,5,single_elimination,10,1,Lamar Odom,Lamar Odom,Sean Spicer,Lamar Odom,Sean Spicer,True,False,0
28,6,7,single_elimination,9,1,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Ally Brooke,Sean Spicer,Sailor Brinkley-Cook,True,True,0
28,7,8,single_elimination,8,1,Karamo Brown,Karamo Brown,Karamo Brown,Sean Spicer,Karamo Brown,False,True,1
28,8,9,single_elimination,7,1,Kate Flannery,Kate Flannery,Kate Flannery,Sean Spicer,Kate Flannery,False,True,1
28,9,10,single_elimination,6,1,Sean Spicer,Sean Spicer,Hannah Brown,Sean Spicer,Hannah Brown,True,False,0
28,10,11,single_elimination,5,1,James Van Der Beek,James Van Der Beek,James Van Der Beek,James Van Der Beek,James Van Der Beek,False,False,1
29,2,3,single_elimination,15,1,Charles Oakley,Charles Oakley,Charles Oakley,Charles Oakley,Anne Heche,False,False,1
29,3,4,single_elimination,14,1,Carole Baskin,Carole Baskin,Justina Machado,Carole Baskin,Justina Machado,True,False,0
29,4,5,single_elimination,13,1,Anne Heche,Anne Heche,Anne Heche,Anne Heche,Anne Heche,False,False,1
29,5,6,single_elimination,12,1,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,Chrishell Stause,Jesse Metcalfe,False,True,1
29,6,7,single_elimination,11,1,Veron Davis,Veron Davis,Veron Davis,Skai Jackson,Veron Davis,False,True,1
29,7,8,multi_elimination,10,2,Jeannie Mai;Monica Aldama,Monica Aldama;Jeannie Mai,Jeannie Mai;Monica Aldama,Monica Aldama;Kaitlyn Bristowe,Jeannie Mai;AJ McLean,False,True,2
29,8,9,single_elimination,8,1,Chrishell Stause,Chrishell Stause,Chrishell Stause,Nelly,Chrishell Stause,False,True,1
29,9,10,single_elimination,7,1,AJ McLean,AJ McLean,AJ McLean,Nelly,AJ McLean,False,True,1
29,10,11,multi_elimination,6,2,Johnny Weir;Skai Jackson,Skai Jackson;Johnny Weir,Skai Jackson;Johnny Weir,Nelly;Johnny Weir,Skai Jackson;Johnny Weir,False,True,2
30,2,3,single_elimination,15,1,Martin Kove,Martin Kove,Matt James,Martin Kove,Matt James,True,False,0
30,3,4,single_elimination,14,1,Christine Chiu,Christine Chiu,Christine Chiu,Cody Rigsby,Christine Chiu,False,True,1
30,4,5,multi_elimination,13,2,Brian Austin Green;Matt James,Brian Austin Green;Matt James,Matt James;Brian Austin Green,Brian Austin Green;Matt James,Matt James;Cody Rigsby,False,False,2
30,5,6,single_elimination,11,1,Melanie C,Melanie C,Jimmie Allen,Iman Shumpert,Melanie C,True,True,0
30,6,7,single_elimination,10,1,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,Iman Shumpert,False,False,1
30,7,8,single_elimination,9,1,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",Cody Rigsby,"Mike ""The Miz"" Mizanin",Jimmie Allen,True,False,0
30,8,9,multi_elimination,8,2,Jimmie Allen;Olivia Jade,Jimmie Allen;Olivia Jade,Olivia Jade;Cody Rigsby,Jimmie Allen;Iman Shumpert,Olivia Jade;Cody Rigsby,True,True,1
30,9,10,multi_elimination,6,2,Melora Hardin;Suni Lee,Melora Hardin;Suni Lee,Suni Lee;Melora Hardin,Cody Rigsby;Melora Hardin,Suni Lee;Amanda Kloots,False,True,2
31,1,2,single_elimination,16,1,Jason Lewis,Jason Lewis,Jason Lewis,Vinny Guadagnino,Jason Lewis,False,True,1
31,2,3,single_elimination,15,1,Teresa Giudice,Teresa Giudice,Teresa Giudice,Cheryl Ladd,Teresa Giudice,False,True,1
31,3,4,single_elimination,14,1,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,Vinny Guadagnino,Cheryl Ladd,False,True,1
31,4,5,single_elimination,13,1,Sam Champion,Sam Champion,Sam Champion,Sam Champion,Jessie James Decker,False,False,1
31,5,6,multi_elimination,12,2,Joseph Baena;Selma Blair,Joseph Baena;Selma Blair,Jordin Sparks;Selma Blair,Vinny Guadagnino;Daniel Durant,Selma Blair;Charli D'Amelio,True,True,1
31,6,7,single_elimination,10,1,Jessie James Decker,Jessie James Decker,Jessie James Decker,Vinny Guadagnino,Jessie James Decker,False,True,1
31,7,8,single_elimination,9,1,Jordin Sparks,Jordin Sparks,Jordin Sparks,Vinny Guadagnino,Jordin Sparks,False,True,1
31,8,9,multi_elimination,8,2,Heidi D'Amelio;Vinny Guadagnino,Vinny Guadagnino;Heidi D'Amelio,Vinny Guadagnino;Heidi D'Amelio,Vinny Guadagnino;Heidi D'Amelio,Vinny Guadagnino;Charli D'Amelio,False,False,2
31,9,10,multi_elimination,6,2,Daniel Durant;Trevor Donovan,Trevor Donovan;Daniel Durant,Daniel Durant;Trevor Donovan,Trevor Donovan;Daniel Durant,Daniel Durant;Charli D'Amelio,False,False,2
32,1,2,single_elimination,14,1,Matt Walsh,Matt Walsh,Alyson Hannigan,Harry Jowsey,Alyson Hannigan,True,True,0
32,2,3,single_elimination,13,1,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,Mauricio Umansky,Jamie Lynn Spears,False,True,1
32,3,4,single_elimination,12,1,Tyson Beckford,Tyson Beckford,Mauricio Umansky,Tyson Beckford,Mauricio Umansky,True,False,0
32,4,5,single_elimination,11,1,Adrian Peterson,Adrian Peterson,Adrian Peterson,Alyson Hannigan,Adrian Peterson,False,True,1
32,5,6,single_elimination,10,1,Mira Sorvino,Mira Sorvino,Mira Sorvino,Harry Jowsey,Mira Sorvino,False,True,1
32,6,7,single_elimination,9,1,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,Harry Jowsey,Mauricio Umansky,False,True,1
32,7,8,single_elimination,8,1,Lele Pons,Lele Pons,Lele Pons,Harry Jowsey,Lele Pons,False,True,1
32,8,9,single_elimination,7,1,Barry Williams,Barry Williams,Barry Williams,Harry Jowsey,Barry Williams,False,True,1
32,9,10,single_elimination,6,1,Harry Jowsey,Harry Jowsey,Alyson Hannigan,Harry Jowsey,Charity Lawson,True,False,0
33,2,3,multi_elimination,13,2,Anna Delvey;Tori Spelling,Anna Delvey;Tori Spelling,Anna Delvey;Tori Spelling,Eric Roberts;Reginald VelJohnson,Tori Spelling;Anna Delvey,False,True,2
33,3,4,multi_elimination,11,2,Eric Roberts;Reginald VelJohnson,Reginald VelJohnson;Eric Roberts,Dwight Howard ;Eric Roberts,Reginald VelJohnson;Eric Roberts,Chandler Kinney;Dwight Howard ,True,False,1
33,4,5,single_elimination,9,1,Brooks Nader,Brooks Nader,Brooks Nader,Dwight Howard ,Brooks Nader,False,True,1
33,5,6,single_elimination,8,1,Phaedra Parks,Phaedra Parks,Phaedra Parks,Dwight Howard ,Danny Amendola,False,True,1
33,6,7,single_elimination,7,1,Jenn Tran,Jenn Tran,Jenn Tran,Ilona Maher,Jenn Tran,False,True,1
33,7,8,single_elimination,6,1,Dwight Howard ,Dwight Howard ,Ilona Maher,Dwight Howard ,Ilona Maher,True,False,0
34,2,3,multi_elimination,14,2,Baron Davis;Corey Feldman,Corey Feldman;Baron Davis,Baron Davis;Corey Feldman,Corey Feldman;Andy Richter,Baron Davis;Alix Earle,False,True,2
34,3,4,single_elimination,12,1,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,Andy Richter,Lauren Jauregui,False,True,1
34,4,5,single_elimination,11,1,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,Andy Richter,Hilaria Baldwin,False,True,1
34,6,7,single_elimination,10,1,Scott Hoying,Scott Hoying,Scott Hoying,Andy Richter,Scott Hoying,False,True,1
34,7,8,single_elimination,9,1,Jen Affleck,Jen Affleck,Jen Affleck,Andy Richter,Jen Affleck,False,True,1
34,8,9,single_elimination,8,1,Danielle Fishel,Danielle Fishel,Danielle Fishel,Andy Richter,Danielle Fishel,False,True,1
34,9,10,single_elimination,7,1,Andy Richter,Andy Richter,Andy Richter,Andy Richter,Jordan Chiles,False,False,1
34,10,11,single_elimination,6,1,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt,Dylan Efron,Whitney Leavitt,False,True,1
