celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active,season,week,next_week,event_type,observed_eliminated,judge_percent,fan_share_est,fan_rank_est,combined_percent,combined_percent_rank,rank_rule_score,rank_rule_bad_rank,fan_rescue_gap,controversy_index,fan_share_min,fan_share_max,fan_share_width,percent_rule_eliminated,rank_rule_eliminated
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,18.0,6.0,7.0,12,11,1,2,single_elimination,False,0.07929515418502203,0.08333302065029528,7.0,0.16262817483531733,5.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,False,False
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,18.0,6.0,7.0,12,11,1,2,single_elimination,False,0.07929515418502203,0.08333302065029528,7.0,0.16262817483531733,5.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,False,False
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,16.0,5.333333333333333,9.0,12,11,1,2,single_elimination,False,0.07048458149779736,0.08332897076692829,11.0,0.15381355226472565,4.0,20.0,2.0,-2.0,2.0,0.0,1.0,1.0,False,False
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,Eliminated Week 1,12,15.0,5.0,10.0,12,11,1,2,single_elimination,True,0.06607929515418502,0.08332729432696542,12.0,0.14940658948115043,1.0,22.0,1.0,-2.0,2.0,0.0,0.10058737151248166,0.10058737151248166,True,True
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,15.0,5.0,10.0,12,11,1,2,single_elimination,False,0.06607929515418502,0.0833332805012403,6.0,0.14941257565542532,2.0,16.0,3.0,4.0,4.0,0.0,1.0,1.0,False,False
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,15.0,5.0,10.0,12,11,1,2,single_elimination,False,0.06607929515418502,0.0833360146014984,3.0,0.14941530975568343,3.0,13.0,6.0,7.0,7.0,0.0,1.0,1.0,False,False
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,24.0,8.0,1.0,11,11,2,3,single_elimination,False,0.1085972850678733,0.09091382105548938,4.0,0.1995111061233627,11.0,5.0,11.0,-3.0,3.0,0.0,1.0,1.0,False,False
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,23.0,7.666666666666667,2.0,11,11,2,3,single_elimination,False,0.10407239819004525,0.09090598723300654,8.0,0.1949783854230518,10.0,10.0,7.0,-6.0,6.0,0.0,1.0,1.0,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,22.0,7.333333333333333,3.0,11,11,2,3,single_elimination,False,0.09954751131221719,0.09090275024496088,9.0,0.19045026155717806,8.0,12.0,5.0,-6.0,6.0,0.0,1.0,1.0,False,False
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,22.0,7.333333333333333,3.0,11,11,2,3,single_elimination,False,0.09954751131221719,0.09090275024496088,9.0,0.19045026155717806,8.0,12.0,5.0,-6.0,6.0,0.0,1.0,1.0,False,False
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,21.0,7.0,5.0,11,11,2,3,single_elimination,False,0.09502262443438914,0.0909161140632854,1.0,0.18593873849767453,5.0,6.0,8.0,4.0,4.0,0.0,1.0,1.0,False,False
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,21.0,7.0,5.0,11,11,2,3,single_elimination,False,0.09502262443438914,0.0909161140632854,1.0,0.18593873849767453,5.0,6.0,8.0,4.0,4.0,0.0,1.0,1.0,False,False
Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,21.0,7.0,5.0,11,11,2,3,single_elimination,False,0.09502262443438914,0.0909161140632854,1.0,0.18593873849767453,5.0,6.0,8.0,4.0,4.0,0.0,1.0,1.0,False,False
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,19.0,6.333333333333333,8.0,11,11,2,3,single_elimination,False,0.08597285067873303,0.0909083593082722,7.0,0.17688120998700524,4.0,15.0,2.0,1.0,1.0,0.0,1.0,1.0,False,False
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,18.0,6.0,9.0,11,11,2,3,single_elimination,False,0.08144796380090498,0.09091372134144124,5.0,0.17236168514234623,3.0,14.0,4.0,4.0,4.0,0.0,1.0,1.0,False,False
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,18.0,6.0,9.0,11,11,2,3,single_elimination,False,0.08144796380090498,0.09090899867147177,6.0,0.17235696247237675,2.0,15.0,2.0,3.0,3.0,0.0,1.0,1.0,False,False
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,12.0,4.0,11.0,11,11,2,3,single_elimination,True,0.05429864253393665,0.09089526853309222,11.0,0.1451939110670289,1.0,22.0,1.0,0.0,0.0,0.0,0.12751953928424517,0.12751953928424517,True,True
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,26.0,8.666666666666666,1.0,10,11,3,4,single_elimination,False,0.11764705882352941,0.09999073182718038,10.0,0.2176377906507098,10.0,11.0,5.0,-9.0,9.0,0.0,1.0,1.0,False,False
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,24.0,8.0,2.0,10,11,3,4,single_elimination,False,0.1085972850678733,0.10000718104892219,1.0,0.2086044661167955,7.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,False,False
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,24.0,8.0,2.0,10,11,3,4,single_elimination,False,0.1085972850678733,0.10000718104892219,1.0,0.2086044661167955,7.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,False,False
Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,24.0,8.0,2.0,10,11,3,4,single_elimination,False,0.1085972850678733,0.10000718104892219,1.0,0.2086044661167955,7.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,False,False
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,23.0,7.666666666666667,5.0,10,11,3,4,single_elimination,False,0.10407239819004525,0.10000099495264368,4.0,0.20407339314268894,5.0,9.0,6.0,1.0,1.0,0.0,1.0,1.0,False,False
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,23.0,7.666666666666667,5.0,10,11,3,4,single_elimination,False,0.10407239819004525,0.10000099495264368,4.0,0.20407339314268894,5.0,9.0,6.0,1.0,1.0,0.0,1.0,1.0,False,False
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,20.0,6.666666666666667,7.0,10,11,3,4,single_elimination,False,0.09049773755656108,0.10000079615397245,6.0,0.19049853371053355,3.0,13.0,3.0,1.0,1.0,0.0,1.0,1.0,False,False
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,20.0,6.666666666666667,7.0,10,11,3,4,single_elimination,False,0.09049773755656108,0.10000079615397245,6.0,0.19049853371053355,3.0,13.0,3.0,1.0,1.0,0.0,1.0,1.0,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,19.0,6.333333333333333,9.0,10,11,3,4,single_elimination,False,0.08597285067873303,0.0999928440228949,8.0,0.18596569470162794,2.0,17.0,2.0,1.0,1.0,0.0,1.0,1.0,False,False
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,18.0,6.0,10.0,10,11,3,4,single_elimination,True,0.08144796380090498,0.09999129784508705,9.0,0.18143926164599203,1.0,19.0,1.0,1.0,1.0,0.0,0.11855203619909498,0.11855203619909498,True,True
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,28.0,9.333333333333334,1.0,9,11,4,5,single_elimination,False,0.1564245810055866,0.11111125067559575,6.0,0.26753583168118233,9.0,7.0,6.0,-5.0,5.0,0.0,1.0,1.0,False,False
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,24.0,8.0,2.0,9,11,4,5,single_elimination,False,0.1340782122905028,0.11111239050426809,5.0,0.2451906027947709,8.0,7.0,6.0,-3.0,3.0,0.0,1.0,1.0,False,False
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,23.0,7.666666666666667,3.0,9,11,4,5,single_elimination,False,0.12849162011173185,0.11111627866409621,2.0,0.23960789877582805,7.0,5.0,9.0,1.0,1.0,0.0,1.0,1.0,False,False
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,20.0,6.666666666666667,4.0,9,11,4,5,single_elimination,False,0.11173184357541899,0.11110339816889528,8.0,0.22283524174431427,6.0,12.0,3.0,-4.0,4.0,0.0,1.0,1.0,False,False
Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,19.5,6.5,5.0,9,11,4,5,single_elimination,False,0.10893854748603352,0.11112335662806826,1.0,0.22006190411410176,5.0,6.0,8.0,4.0,4.0,0.0,1.0,1.0,False,False
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,17.5,5.833333333333333,6.0,9,11,4,5,single_elimination,False,0.09776536312849161,0.11111336952154283,4.0,0.20887873265003443,4.0,10.0,5.0,2.0,2.0,0.0,1.0,1.0,False,False
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,17.0,5.666666666666667,7.0,9,11,4,5,single_elimination,False,0.09497206703910614,0.11110362763660836,7.0,0.20607569467571452,3.0,14.0,2.0,0.0,0.0,0.0,1.0,1.0,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,16.0,5.333333333333333,8.0,9,11,4,5,single_elimination,False,0.0893854748603352,0.11111616375335324,3.0,0.20050163861368844,2.0,11.0,4.0,5.0,5.0,0.0,1.0,1.0,False,False
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,14.0,4.666666666666667,9.0,9,11,4,5,single_elimination,True,0.0782122905027933,0.11110016318007833,9.0,0.18931245368287164,1.0,18.0,1.0,0.0,0.0,0.0,0.14400993171942894,0.14400993171942894,True,True
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,27.0,9.0,1.0,8,11,5,6,single_elimination,False,0.14835164835164835,0.12493661768311354,3.0,0.27328826603476186,8.0,4.0,8.0,-2.0,2.0,0.0,0.978021978021978,0.978021978021978,False,False
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,25.0,8.333333333333334,2.0,8,11,5,6,single_elimination,False,0.13736263736263737,0.12491510990813184,7.0,0.26227774727076925,7.0,9.0,3.0,-5.0,5.0,0.0,0.978021978021978,0.978021978021978,False,False
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,24.0,8.0,3.0,8,11,5,6,single_elimination,False,0.13186813186813187,0.12493581310279274,4.0,0.2568039449709246,5.0,7.0,6.0,-1.0,1.0,0.0,0.978021978021978,0.978021978021978,False,False
Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,24.0,8.0,3.0,8,11,5,6,single_elimination,False,0.13186813186813187,0.12493581310279274,4.0,0.2568039449709246,5.0,7.0,6.0,-1.0,1.0,0.0,0.978021978021978,0.978021978021978,False,False
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,23.0,7.666666666666667,5.0,8,11,5,6,single_elimination,False,0.12637362637362637,0.12492869866335642,6.0,0.2513023250369828,4.0,11.0,2.0,-1.0,1.0,0.0,0.978021978021978,0.978021978021978,False,False
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,21.0,7.0,6.0,8,11,5,6,single_elimination,True,0.11538461538461539,0.11696231038857431,8.0,0.23234692577318972,1.0,14.0,1.0,-2.0,2.0,0.0,0.13461538461538458,0.13461538461538458,True,True
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,20.0,6.666666666666667,7.0,8,11,5,6,single_elimination,False,0.10989010989010989,0.12493980001455161,2.0,0.23482990990466152,3.0,9.0,3.0,5.0,5.0,0.005494505494505503,0.9835164835164835,0.978021978021978,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,18.0,6.0,8.0,8,11,5,6,single_elimination,False,0.0989010989010989,0.13344583564355156,1.0,0.23234693454465044,2.0,9.0,3.0,7.0,7.0,0.016483516483516494,0.9945054945054945,0.978021978021978,False,False
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,35.9999,11.999966666666666,1.0,7,11,6,7,single_elimination,False,0.17391314849856981,0.1422575429581303,6.0,0.3161706914567001,7.0,7.0,5.0,-5.0,5.0,0.0,0.898553280131865,0.898553280131865,False,False
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,31.9998,10.6666,2.0,7,11,6,7,single_elimination,True,0.1545889285615942,0.12014959462454507,7.0,0.2747385231861393,1.0,9.0,3.0,-5.0,5.0,0.0,0.13112535715269152,0.13112535715269152,True,False
Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,30.0,10.0,3.0,7,11,6,7,single_elimination,False,0.1449280263266591,0.14228797725783296,3.0,0.28721600358449206,5.0,6.0,6.0,0.0,0.0,0.009660902234935098,0.9082141823668001,0.898553280131865,False,False
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,29.999899999999997,9.999966666666666,4.0,7,11,6,7,single_elimination,False,0.14492754323323798,0.1422898129002441,2.0,0.2872173561334821,6.0,6.0,6.0,2.0,2.0,0.009661385328356226,0.9082146654602212,0.898553280131865,False,False
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,29.0,9.666666666666666,5.0,7,11,6,7,single_elimination,False,0.14009709211577046,0.14227323342920897,5.0,0.28237032554497943,4.0,10.0,1.0,0.0,0.0,0.014491836445823747,0.9130451165776887,0.898553280131865,False,True
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,27.9998,9.333266666666667,6.0,7,11,6,7,single_elimination,False,0.13526519171803963,0.1422833804330458,4.0,0.2775485721510854,3.0,10.0,1.0,2.0,2.0,0.019323736843554568,0.9178770169754196,0.898553280131865,False,False
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,21.9999,7.3333,7.0,7,11,6,7,single_elimination,False,0.10628006954612891,0.1684584567071034,1.0,0.2747385262532323,2.0,8.0,4.0,6.0,6.0,0.04830885901546529,0.9468621391473303,0.898553280131865,False,False
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,36.5,9.125,1.0,6,11,7,8,single_elimination,False,0.1750599520383693,0.1666425483622143,4.0,0.3417025004005836,5.0,5.0,5.0,-3.0,3.0,0.0,0.985611510791367,0.985611510791367,False,False
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,36.5,9.125,1.0,6,11,7,8,single_elimination,False,0.1750599520383693,0.1666425483622143,4.0,0.3417025004005836,5.0,5.0,5.0,-3.0,3.0,0.0,0.985611510791367,0.985611510791367,False,False
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,35.0,8.75,3.0,6,11,7,8,single_elimination,False,0.16786570743405277,0.16664295539635407,3.0,0.3345086628304068,4.0,6.0,4.0,0.0,0.0,0.0,0.985611510791367,0.985611510791367,False,False
Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,34.5,8.625,4.0,6,11,7,8,single_elimination,True,0.16546762589928057,0.1618932326351885,6.0,0.32736085853446906,1.0,10.0,1.0,-2.0,2.0,0.0,0.16786570743405277,0.16786570743405277,True,True
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,33.5,8.375,5.0,6,11,7,8,single_elimination,False,0.1606714628297362,0.16669313453173834,2.0,0.32736459736147455,3.0,7.0,2.0,3.0,3.0,0.0047961630695443624,0.9904076738609113,0.985611510791367,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,32.5,8.125,6.0,6,11,7,8,single_elimination,False,0.15587529976019185,0.17148557970021322,1.0,0.32736087946040504,2.0,7.0,2.0,5.0,5.0,0.009592326139088725,0.9952038369304557,0.985611510791367,False,False
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,28.5,9.5,1.0,5,11,8,9,single_elimination,False,0.21509433962264152,0.1999981163601288,3.0,0.41509245598277034,4.0,4.0,4.0,-2.0,2.0,0.0,0.9962264150943396,0.9962264150943396,False,False
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,28.5,9.5,1.0,5,11,8,9,single_elimination,False,0.21509433962264152,0.1999981163601288,3.0,0.41509245598277034,4.0,4.0,4.0,-2.0,2.0,0.0,0.9962264150943396,0.9962264150943396,False,False
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,28.0,9.333333333333334,3.0,5,11,8,9,single_elimination,False,0.21132075471698114,0.2000005534329377,2.0,0.41132130814991885,3.0,5.0,3.0,1.0,1.0,0.0,0.9962264150943396,0.9962264150943396,False,False
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,24.0,8.0,4.0,5,11,8,9,single_elimination,True,0.1811320754716981,0.19811477916780776,5.0,0.37924685463950586,1.0,9.0,1.0,-1.0,1.0,0.0,0.2188679245283019,0.2188679245283019,True,True
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,23.5,7.833333333333333,5.0,5,11,8,9,single_elimination,False,0.17735849056603772,0.20188843403813847,1.0,0.3792469246041762,2.0,6.0,2.0,4.0,4.0,0.0037735849056603765,1.0,0.9962264150943396,False,False
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,30.0,10.0,1.0,4,11,9,10,single_elimination,False,0.2631578947368421,0.24993172766938593,2.0,0.513089622406228,4.0,3.0,4.0,-1.0,1.0,0.0,0.9824561403508771,0.9824561403508771,False,False
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,29.0,9.666666666666666,2.0,4,11,9,10,single_elimination,False,0.2543859649122807,0.24992262640236484,3.0,0.5043085913146456,3.0,5.0,2.0,-1.0,1.0,0.0,0.9824561403508771,0.9824561403508771,False,False
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,28.5,9.5,3.0,4,11,9,10,single_elimination,True,0.25,0.2413008779953841,4.0,0.49130087799538413,1.0,7.0,1.0,-1.0,1.0,0.0,0.25,0.25,True,True
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,26.5,8.833333333333334,4.0,4,11,9,10,single_elimination,False,0.2324561403508772,0.2588447662044585,1.0,0.4913009065553357,2.0,5.0,2.0,3.0,3.0,0.017543859649122806,1.0,0.9824561403508771,False,False
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,23.0,7.666666666666667,1.0,11,12,2,3,single_elimination,False,0.10648148148148148,0.09091491482476273,1.0,0.19739639630624423,9.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,False,False
Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,23.0,7.666666666666667,1.0,11,12,2,3,single_elimination,False,0.10648148148148148,0.09091491482476273,1.0,0.19739639630624423,9.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,False,False
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,23.0,7.666666666666667,1.0,11,12,2,3,single_elimination,False,0.10648148148148148,0.09091491482476273,1.0,0.19739639630624423,9.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,False,False
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,21.0,7.0,4.0,11,12,2,3,single_elimination,False,0.09722222222222222,0.09091201839132508,6.0,0.1881342406135473,8.0,10.0,8.0,-2.0,2.0,0.0,1.0,1.0,False,False
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,20.0,6.666666666666667,5.0,11,12,2,3,single_elimination,False,0.09259259259259259,0.09089572523433172,11.0,0.18348831782692432,7.0,16.0,4.0,-6.0,6.0,0.0,1.0,1.0,False,False
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,19.0,6.333333333333333,6.0,11,12,2,3,single_elimination,False,0.08796296296296297,0.09090875522203938,7.0,0.17887171818500236,6.0,13.0,5.0,-1.0,1.0,0.0,1.0,1.0,False,False
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,18.0,6.0,7.0,11,12,2,3,single_elimination,False,0.08333333333333333,0.09091252795445261,4.0,0.17424586128778594,4.0,11.0,6.0,3.0,3.0,0.0,1.0,1.0,False,False
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,18.0,6.0,7.0,11,12,2,3,single_elimination,False,0.08333333333333333,0.09091252795445261,4.0,0.17424586128778594,4.0,11.0,6.0,3.0,3.0,0.0,1.0,1.0,False,False
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,Eliminated Week 2,11,17.0,5.666666666666667,9.0,11,12,2,3,single_elimination,True,0.0787037037037037,0.09089704606108404,10.0,0.16960074976478773,1.0,19.0,1.0,-1.0,1.0,0.0,0.10311447811447809,0.10311447811447809,True,True
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,Eliminated Week 4,9,17.0,5.666666666666667,9.0,11,12,2,3,single_elimination,False,0.0787037037037037,0.09090800065683154,9.0,0.16961170436053524,2.0,18.0,2.0,0.0,0.0,0.0,1.0,1.0,False,False
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,Eliminated Week 3,10,17.0,5.666666666666667,9.0,11,12,2,3,single_elimination,False,0.0787037037037037,0.09090865338032274,8.0,0.16961235708402644,3.0,17.0,3.0,1.0,1.0,0.0,1.0,1.0,False,False
Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,25.0,8.333333333333334,1.0,10,12,3,4,single_elimination,False,0.11682242990654206,0.10000560724067219,1.0,0.21682803714721424,9.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,False,False
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,25.0,8.333333333333334,1.0,10,12,3,4,single_elimination,False,0.11682242990654206,0.10000560724067219,1.0,0.21682803714721424,9.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,False,False
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,23.0,7.666666666666667,3.0,10,12,3,4,single_elimination,False,0.10747663551401869,0.09999958565078929,6.0,0.20747622116480796,7.0,9.0,4.0,-3.0,3.0,0.0,1.0,1.0,False,False
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,23.0,7.666666666666667,3.0,10,12,3,4,single_elimination,False,0.10747663551401869,0.09999958565078929,6.0,0.20747622116480796,7.0,9.0,4.0,-3.0,3.0,0.0,1.0,1.0,False,False
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,21.0,7.0,5.0,10,12,3,4,single_elimination,False,0.09813084112149532,0.10000124035157398,3.0,0.19813208147306932,4.0,8.0,6.0,2.0,2.0,0.0,1.0,1.0,False,False
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,21.0,7.0,5.0,10,12,3,4,single_elimination,False,0.09813084112149532,0.10000124035157398,3.0,0.19813208147306932,4.0,8.0,6.0,2.0,2.0,0.0,1.0,1.0,False,False
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,21.0,7.0,5.0,10,12,3,4,single_elimination,False,0.09813084112149532,0.10000124035157398,3.0,0.19813208147306932,4.0,8.0,6.0,2.0,2.0,0.0,1.0,1.0,False,False
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,20.0,6.666666666666667,8.0,10,12,3,4,single_elimination,False,0.09345794392523364,0.0999913481979525,10.0,0.19344929212318612,2.0,18.0,2.0,-2.0,2.0,0.0,1.0,1.0,False,False
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,Eliminated Week 4,9,20.0,6.666666666666667,8.0,10,12,3,4,single_elimination,False,0.09345794392523364,0.09999930141219074,8.0,0.19345724533742437,3.0,16.0,3.0,0.0,0.0,0.0,1.0,1.0,False,False
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,Eliminated Week 3,10,15.0,5.0,10.0,10,12,3,4,single_elimination,True,0.07009345794392523,0.09999524296500188,9.0,0.1700887009089271,1.0,19.0,1.0,1.0,1.0,0.0,0.12990654205607477,0.12990654205607477,True,True
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,26.0,8.666666666666666,1.0,9,12,4,5,single_elimination,False,0.1262135922330097,0.11106419881959692,2.0,0.23727779105260663,9.0,3.0,9.0,-1.0,1.0,0.0,0.9854368932038835,0.9854368932038835,False,False
Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,25.0,8.333333333333334,2.0,9,12,4,5,single_elimination,False,0.12135922330097088,0.11105352372641936,7.0,0.23241274702739023,7.0,9.0,4.0,-5.0,5.0,0.0,0.9854368932038835,0.9854368932038835,False,False
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,25.0,8.333333333333334,2.0,9,12,4,5,single_elimination,False,0.12135922330097088,0.11105352372641936,7.0,0.23241274702739023,7.0,9.0,4.0,-5.0,5.0,0.0,0.9854368932038835,0.9854368932038835,False,False
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,23.0,7.666666666666667,4.0,9,12,4,5,single_elimination,False,0.11165048543689321,0.111056276843327,4.0,0.2227067622802202,4.0,8.0,6.0,0.0,0.0,0.0,0.9854368932038835,0.9854368932038835,False,False
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,23.0,7.666666666666667,4.0,9,12,4,5,single_elimination,False,0.11165048543689321,0.111056276843327,4.0,0.2227067622802202,4.0,8.0,6.0,0.0,0.0,0.0,0.9854368932038835,0.9854368932038835,False,False
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,23.0,7.666666666666667,4.0,9,12,4,5,single_elimination,False,0.11165048543689321,0.111056276843327,4.0,0.2227067622802202,4.0,8.0,6.0,0.0,0.0,0.0,0.9854368932038835,0.9854368932038835,False,False
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,22.0,7.333333333333333,7.0,9,12,4,5,single_elimination,False,0.10679611650485436,0.11106306162301187,3.0,0.21785917812786623,3.0,10.0,2.0,4.0,4.0,0.0,0.9854368932038835,0.9854368932038835,False,False
